objectid,ObsDate,Location,Latitude,Longitude,Quantity
5156099,6/12/17,"""Marion, Florida, United States""",29.20104,-82.05381,1
5156435,6/12/17,"""Sumter, Florida, United States""",28.74499,-82.06342,1
5156103,6/15/17,"""Marion, Florida, United States""",29.21644,-82.05695,1
5156109,6/16/17,"""Marion, Florida, United States""",29.22013,-82.04465,1
5156110,6/16/17,"""Marion, Florida, United States""",29.22013,-82.04465,1
5156391,6/19/17,"""Orange, Florida, United States""",28.65225,-81.47392,1
5156107,6/30/17,"""Marion, Florida, United States""",29.218,-82.05032,1
4908404,7/3/17,"""Sarasota, Florida, United States""",27.28226,-82.43023,1
5156112,7/7/17,"""Marion, Florida, United States""",29.24752,-82.21288,1
5156098,7/10/17,"""Marion, Florida, United States""",29.03727,-81.91374,1
5156390,7/10/17,"""Orange, Florida, United States""",28.65225,-81.47392,1
5156113,7/12/17,"""Marion, Florida, United States""",29.25277,-82.1642,1
5156106,7/17/17,"""Marion, Florida, United States""",29.218,-82.05032,1
5156111,7/19/17,"""Marion, Florida, United States""",29.22013,-82.04465,1
5156100,7/20/17,"""Marion, Florida, United States""",29.20104,-82.05381,1
5236762,7/29/17,"""Marion, Florida, United States""",29.21639,-81.99939,1
5237129,8/2/17,"""Orange, Florida, United States""",28.65225,-81.47392,1
5236765,8/10/17,"""Marion, Florida, United States""",29.31033,-82.16505,1
5236764,8/14/17,"""Marion, Florida, United States""",29.29557,-82.14413,1
5237130,8/31/17,"""Orange, Florida, United States""",28.65401,-81.46874,1
5237131,8/31/17,"""Orange, Florida, United States""",28.65699,-81.4688,1
5236607,9/15/17,"""Seminole, Florida, United States""",28.6404,-81.44554,1
5236604,9/18/17,"""Seminole, Florida, United States""",28.64035,-81.44538,1
5236605,9/18/17,"""Seminole, Florida, United States""",28.64035,-81.44563,1
5236610,9/18/17,"""Seminole, Florida, United States""",28.6404,-81.44554,1
5236608,9/21/17,"""Seminole, Florida, United States""",28.6404,-81.44554,1
5236611,9/22/17,"""Seminole, Florida, United States""",28.6404,-81.44554,1
5236609,9/25/17,"""Seminole, Florida, United States""",28.6404,-81.44554,1
5236763,10/3/17,"""Marion, Florida, United States""",29.28518,-81.64934,1
5236606,10/10/17,"""Seminole, Florida, United States""",28.64035,-81.44563,1
5237248,10/18/17,"""Lake, Florida, United States""",28.82385,-81.91801,1
5236612,10/25/17,"""Seminole, Florida, United States""",28.6404,-81.44554,1
5236626,10/30/17,"""Seminole, Florida, United States""",28.80005,-81.41225,1
5236625,10/31/17,"""Seminole, Florida, United States""",28.7951,-81.37857,1
5236627,11/14/17,"""Seminole, Florida, United States""",28.81543,-81.34055,1
5237249,12/11/17,"""Lake, Florida, United States""",28.85145,-81.55477,1
8699354,12/31/17,"""Marion, Florida, United States""",29.20434,-82.02509,1
8699336,2/12/18,"""Marion, Florida, United States""",29.20196,-82.01505,1
7828914,2/13/18,"""Marion, Florida, United States""",29.18767,-81.98872,1
7828915,2/28/18,"""Marion, Florida, United States""",29.41507,-82.26637,1
7828913,3/11/18,"""Marion, Florida, United States""",29.08101,-81.83787,1
8699335,4/4/18,"""Marion, Florida, United States""",29.20221,-82.02024,1
8699334,4/13/18,"""Marion, Florida, United States""",29.21434,-82.0534,1
7842270,5/21/18,"""Alachua, Florida, United States""",29.56423,-82.39148,1
7842271,5/22/18,"""Alachua, Florida, United States""",29.57988,-82.38902,1
8699338,5/28/18,"""Polk, Florida, United States""",27.66483,-81.51575,1
8699337,6/2/18,"""Marion, Florida, United States""",29.20776,-81.99589,1
7844172,7/6/18,"""Marion, Florida, United States""",29.21523,-81.99321,1
7845596,8/14/18,"""Citrus, Florida, United States""",28.97827,-82.3527,1
7845721,8/23/18,"""Lake, Florida, United States""",28.87618,-81.73563,1
7844780,9/10/18,"""Volusia, Florida, United States""",28.92046,-81.34853,1
7844779,9/13/18,"""Volusia, Florida, United States""",28.92046,-81.34853,1
8242144,10/24/18,"""Marion, Florida, United States""",29.2982,-82.00018,1
8248082,10/30/18,"""Orange, Florida, United States""",28.7358,-81.60315,1
8242143,11/6/18,"""Marion, Florida, United States""",29.29286,-81.65477,1
8249141,11/20/18,"""Lake, Florida, United States""",28.87234,-81.7888,1
8699342,12/30/18,"""Marion, Florida, United States""",29.21027,-82.03423,1
8243053,1/17/19,"""Volusia, Florida, United States""",29.11071,-81.04057,1
8243043,2/4/19,"""Volusia, Florida, United States""",29.0546,-81.0503,1
8699359,3/15/19,"""Marion, Florida, United States""",29.21573,-82.04829,1
8699340,4/13/19,"""Marion, Florida, United States""",29.21599,-82.04716,1
8699341,4/13/19,"""Marion, Florida, United States""",29.21601,-82.04722,1
8368439,4/26/19,"""Seminole, Florida, United States""",28.69767,-81.40324,1
8699345,5/27/19,"""Marion, Florida, United States""",29.2153,-82.05276,1
8699356,5/27/19,"""Marion, Florida, United States""",29.21803,-82.05614,1
8368440,6/1/19,"""Seminole, Florida, United States""",28.68308,-81.39248,1
8699344,7/11/19,"""Marion, Florida, United States""",29.21612,-82.04398,1
8368370,9/4/19,"""St. Johns, Florida, United States""",29.80467,-81.54967,1
8368371,9/17/19,"""St. Johns, Florida, United States""",29.84533,-81.55782,1
8371633,10/8/19,"""Polk, Florida, United States""",27.66483,-81.51575,1
8371382,10/11/19,"""St. Johns, Florida, United States""",29.80739,-81.38752,1
8699346,10/27/19,"""Marion, Florida, United States""",29.20434,-82.02509,1
8371381,10/28/19,"""St. Johns, Florida, United States""",29.92494,-81.44281,1
8371380,11/4/19,"""St. Johns, Florida, United States""",30.07044,-81.52701,1
8371618,11/10/19,"""Putnam, Florida, United States""",29.4795,-81.66777,1
8699347,11/28/19,"""Marion, Florida, United States""",29.2043,-82.02487,1
8304391,12/16/19,"""Duval, Florida, United States""",30.13641,-81.60608,1
8371431,12/16/19,"""Duval, Florida, United States""",30.13744,-81.60635,1
8699355,1/1/20,"""Marion, Florida, United States""",29.20434,-82.02509,1
8699348,1/2/20,"""Marion, Florida, United States""",29.2033,-82.02446,1
8699349,1/26/20,"""Marion, Florida, United States""",29.21478,-82.05698,1
8576023,2/2/20,"""St. Johns, Florida, United States""",30.04007,-81.49665,1
8576025,2/3/20,"""St. Johns, Florida, United States""",30.05853,-81.524,1
8699350,2/16/20,"""Marion, Florida, United States""",29.21809,-82.05614,1
8699352,2/17/20,"""Marion, Florida, United States""",29.2156,-82.04509,1
8699351,2/22/20,"""Marion, Florida, United States""",29.21809,-82.05614,1
8815622,2/29/20,"""Marion, Florida, United States""",29.21562,-82.04628,1
8820983,5/14/20,"""Putnam, Florida, United States""",29.59791,-81.63827,1
8821466,6/24/20,"""Marion, Florida, United States""",29.2257,-82.15677,1
8821454,7/2/20,"""Marion, Florida, United States""",29.218,-82.05032,1
8821473,7/6/20,"""Marion, Florida, United States""",29.33291,-81.762,1
8821459,7/7/20,"""Marion, Florida, United States""",29.17088,-82.17579,1
8699358,7/24/20,"""Putnam, Florida, United States""",29.49321,-81.79274,1
8821457,8/20/20,"""Marion, Florida, United States""",29.04276,-81.92925,1
8821465,8/21/20,"""Marion, Florida, United States""",29.12178,-81.88703,1
8699365,9/20/20,"""Marion, Florida, United States""",29.21395,-82.05259,1
8766138,10/10/20,"""Marion, Florida, United States""",29.21637,-82.04934,1
8821462,11/13/20,"""Marion, Florida, United States""",29.21803,-82.05614,1
8821464,12/22/20,"""Marion, Florida, United States""",29.1327,-81.84653,1
10416512,1/9/21,"""Marion, Florida, United States""",29.21803,-82.05614,1
8793939,1/19/21,"""Marion, Florida, United States""",29.22825,-81.97887,1
10417195,1/22/21,"""Marion, Florida, United States""",29.12815,-82.10545,1
8793940,1/24/21,"""Marion, Florida, United States""",29.21458,-82.04557,1
8815626,3/3/21,"""Marion, Florida, United States""",29.21544,-82.05186,1
8797699,3/22/21,"""Marion, Florida, United States""",29.31748,-81.90052,1
8854035,4/30/21,"""Marion, Florida, United States""",29.21453,-82.05322,1
10416774,5/13/21,"""Marion, Florida, United States""",29.12359,-81.83983,4
10416630,6/11/21,"""Marion, Florida, United States""",29.21803,-82.05614,3
9616181,6/18/21,"""Marion, Florida, United States""",29.21259,-82.04133,1
10419994,7/26/21,"""Marion, Florida, United States""",28.96879,-82.03695,1
11294608,1/28/22,"""Marion, Florida, United States""",29.2311,-81.93634,1
11296025,6/20/22,"""Marion, Florida, United States""",29.22013,-82.04465,40
11427314,12/20/22,"""Hernando, Florida, United States""",28.56544,-82.37439,1
11416288,3/20/23,"""Seminole, Florida, United States""",28.83354,-81.35169,1
11903439,4/22/23,"""Lake, Florida, United States""",28.81491,-81.75552,1
11903455,4/27/23,"""Levy, Florida, United States""",29.02418,-82.66431,1
11903440,5/3/23,"""Lake, Florida, United States""",28.80249,-81.64452,1
11903461,6/12/23,"""Marion, Florida, United States""",29.18762,-81.98845,20
11905047,8/1/23,"""Marion, Florida, United States""",29.10065,-82.42815,1
11905048,8/25/23,"""Marion, Florida, United States""",29.1785,-81.86971,1
11906045,9/8/23,"""Putnam, Florida, United States""",29.4707,-81.69055,1
11904989,9/10/23,"""Lake, Florida, United States""",28.67223,-81.68082,1
11906059,9/16/23,"""Seminole, Florida, United States""",28.81301,-81.33357,1
11906060,9/18/23,"""Seminole, Florida, United States""",28.81301,-81.33357,1
11904990,9/26/23,"""Lake, Florida, United States""",28.93271,-81.86781,1
12337261,9/29/23,"""Lake, Florida, United States""",28.57798,-81.66179,1
12028690,10/2/23,"""Lake, Florida, United States""",28.59488,-81.70523,2
12028673,11/26/23,"""Lake, Florida, United States""",28.58486,-81.75646,1
11906981,12/19/23,"""Sumter, Florida, United States""",28.58906,-82.22094,1
12337260,4/22/24,"""Lake, Florida, United States""",28.52855,-81.8713,1
12337262,4/26/24,"""Lake, Florida, United States""",28.58054,-81.81208,1
12337263,4/29/24,"""Lake, Florida, United States""",28.54414,-81.77257,1
12337264,4/30/24,"""Lake, Florida, United States""",28.54543,-81.74789,1
12337265,5/3/24,"""Lake, Florida, United States""",28.54686,-81.72765,1
12337311,5/22/24,"""Marion, Florida, United States""",29.21893,-82.04655,1
12336944,6/19/24,"""Alachua, Florida, United States""",29.45705,-82.11189,2
12342912,7/24/24,"""Seminole, Florida, United States""",28.81624,-81.32468,1
12339877,8/3/24,"""Alachua, Florida, United States""",29.5485,-82.13806,1
12341361,8/3/24,"""Lake, Florida, United States""",28.7688,-81.68847,1
